Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
Kota Ternate,0.47,0.4,0.27
Kota Tidore Kepulauan,0.91,0.75,0.66
PAPUA BARAT,7.24,7.57,5.71
Fakfak,6.97,7.35,5.59
Kaimana,4.3,3.26,3.29
Teluk Wondama,13.52,9.54,12.22
Teluk Bintuni,15.84,16.36,9.92
Manokwari,9.61,11.04,8.27
Sorong Selatan,4.15,4.09,3.76
Sorong,8.12,7.12,7.56
Raja Ampat,4.46,3.72,3.95
Tambrauw,10.55,11.16,10.62
Maybrat,9.24,9.49,6.2
Manokwari Selatan,-,-,-
Pegunungan Arfak,-,-,-
Kota Sorong,2.93,3.01,4.32
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,8.14,7.93,7.35
Merauke,3.79,2.29,2.37
Jayawijaya,9.12,7.65,6.73
Jayapura,4.36,3.73,3.77
Nabire,7.66,7.81,8.83
Kepulauan Yapen,8.98,7.73,7.52
Biak Numfor,9.91,6.32,6.41
Paniai,11.02,9.47,8.92
Puncak Jaya,16.28,10.33,7.84
Mimika,7.11,7.17,6.03
Boven Digoel,3.29,4.34,5.52
Mappi,5.15,6.37,5.58
Asmat,11.03,5.87,6.11
Yahukimo,5.98,8.49,14.15
Pegunungan Bintang,7.46,4.21,4.13
Tolikara,8,5.54,3.67
Sarmi,2.55,3.31,5.16
Keerom,5.49,4.41,3.41
Waropen,10.93,7.46,11.47
Supiori,18.28,6.37,7.51
Mamberamo Raya,13.13,9.79,10.61
Nduga *,6.21,4.9,3.16
Lanny Jaya,19.16,7.27,8.22
Mamberamo Tengah,2.64,6.59,5.47
Yalimo,9.32,7.16,7.8
Puncak,10.24,8.07,6.44
Dogiyai,9.75,5.67,3.24
Intan Jaya,13.44,9.41,17.94
Deiyai,7.32,13.59,17.94
Kota Jayapura,3.01,2.89,3.06
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
