Provinsi/Kabupaten/Kota,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,
,Laki-laki,,Perempuan,
Siau Tagulandang Biaro,12898,13353,5802,6009
Minahasa Tenggara,15531,15906,8471,8671
Bolaang Mongondow Selatan,15070,15550,4269,4443
Bolaang Mongondow Timur,13572,14020,7231,7462
Kota Manado,17028,17543,13298,13654
Kota Bitung,17029,17431,10767,10970
Kota Tomohon,13367,13599,11826,12006
Kota Kotamobagu,15022,15439,10272,10508
SULAWESI TENGAH,13503,14034,8008,8332
Banggai Kepulauan,11206,11712,7510,7847
Banggai,14652,15284,8008,8329
Morowali,17384,18038,6441,6647
Poso,10558,11030,8554,8899
Donggala,11678,12320,5968,6272
Toli-Toli,11688,12190,6312,6669
Buol,12014,12743,5732,6055
Parigi Moutong,13191,13756,7746,8050
Tojo Una-Una,12107,12777,6810,7183
Sigi,11435,11955,7786,8117
Banggai Laut,11079,11684,7696,8102
Morowali Utara,10934,11394,8934,9293
Kota Palu,15939,16311,14918,15216
SULAWESI SELATAN,16645,17122,10131,10483
Kepulauan Selayar,15027,15528,8274,8591
Bulukumba,14153,14643,10690,11101
Bantaeng,12614,12795,9683,9835
Jeneponto,14425,14940,8506,8788
Takalar,16752,17309,6941,7321
Gowa,15167,15758,6649,6884
Sinjai,10503,11001,9284,9667
Maros,17411,18021,8574,8864
Pangkajene dan Kepulauan,18646,19263,9655,9979
Barru,14613,15191,10932,11324
Bone,13299,13889,8080,8398
Soppeng,11136,11547,9312,9601
Wajo,20784,21260,9885,10209
Sidenreng Rappang,18915,19478,10304,10611
Pinrang,15787,16396,10718,11070
Enrekang,11523,12001,10534,10949
Luwu,14665,15221,8463,8845
Tana Toraja,11155,11588,5446,5750
Luwu Utara,16872,17428,8618,8876
Luwu Timur,20045,20635,9458,9719
Toraja Utara,12092,12620,5467,5679
Kota Makasar,20964,21564,13862,14229
Kota Parepare,16339,16899,13729,14093
Kota Palopo,16328,16818,12392,12809
SULAWESI TENGGARA,13891,14426,7857,8178
Buton,12570,13226,4697,4943
Muna,12421,12830,6227,6479
Konawe,15028,15624,9746,10095
Kolaka,18231,18818,8507,8774
Konawe Selatan,13717,14303,6435,6695
Bombana,13015,13684,5156,5395
Wakatobi,13990,14691,7498,7818
Kolaka Utara,11409,11715,10321,10568
Buton Utara,10421,10964,7364,7664
Konawe Utara,14186,14832,6163,6428
Kolaka Timur,8153,8520,8772,8980
Konawe Kepulauan,11232,11805,4901,5137
Muna Barat,10569,11123,6193,6494
Buton Tengah,12245,12769,4720,4907
Buton Selatan,13598,14427,3026,3210
Kota Kendari,17552,17974,13091,13387
